key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-457898544,IoT based patient monitoring system towards improving quality of life for patients with mild respiratory failure - International Conference on Computer Vision and Internet of Things 2023 (ICCVIoT'23),2023,,,,,2023,,37--43,"Vijai, S. and Jayakumar, J. and Jose, P. S. Hency and Rajasekaran, K. and Raj, P. A. Christu",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10401196,,IET,,"Internet of things (IoT) is a network of several devices recognizable items are linked to the web and mobile apps. Patient Monitoring devices accumulate healthcare information such as Body parameters Heart rate (BPM), Oxygen saturation level(SpO2). Healthcare providers receive data from Patients through IoT devices. There need patient health monitoring regularly and collecting data will need a stay at home. Patients are spending less time in hospitals because to remote patient monitoring. Healthcare prices have decreased as treatment quality has increased. Using information from of the IoT-enabled devices, patients and healthcare professionals can see patient data that is collected by an IoT device and delivered to a software program. The data may be analyzed and therapy recommendations are made using algorithms. Any abnormality in a person's everyday activities will trigger an alarm mechanism that will notify care takers and medical professional. The sensor data is delivered to cloud through a ESP 8266 WiFi module and Arduino uno board that allows the health care system to operate efficiently.","",10.1049/icp.2023.2850,"",,
rayyan-457898545,IoMT Type‐2 Fuzzy Logic Implementation - Advances in Fuzzy-Based Internet of Medical Things (IoMT),2024,,,,,,,179--194,"Gantayat, S. S. and Pimple, K. M. and Sree, P. K.",https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10953182.pdf\&bkn=10950225\&pdfType=chapter,,Wiley,,"Summary <p>Monitoring data streams lays the groundwork for creating clever context‐aware apps. Multiple wireless sensors might be dispersed across a localized region and keep an eye on environmental variables to spot disasters like fire and flood. Measurements are sent to a back‐end system, which then makes determinations about the presence or absence of irregularities that might have unfavorable consequences. A system present using data streams from several sensors can accurately identify events as they happen in real time. Time series prediction is used in the proposed framework to derive upcoming insights from total values and contextual information over consensus theory to efficiently aggregate data. A second type of fuzzy inference method is used to precisely identify events from the unanimously merged and forecasted components of context. Reasoning skills under uncertainty of phenomenon identification are provided by the type‐2 inference process. The effectiveness of a method can vary based on the specific problem domain and characteristics of the data. Benefits are the advantage of the proposed method include accuracy fast computation and low source. Drawbacks are situations that may arise when the method may not perform well. Further compare our approach to type‐1 fuzzy inference and other processes to see how effective it is in reducing false positives.</p>","",10.1002/9781394242252.ch12,"",,
rayyan-457898546,Indication System in Fire Accident \& IAQ of Building with Central Controlling System - IECON 2023- 49th Annual Conference of the IEEE Industrial Electronics Society,2023,,,,2577-1647,,,1--6,"Lee, C. C. and Lam, S. K. and Kwong, W. K. and Lau, W. K. and Tung, C. N. and Cho, Y. M. and Li, C. Y.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10312431,,IEEE,,"Hong Kong's high population density in Public Rental Housing (PRH) and Home Ownership Scheme (HOS) estates and courts presents safety concerns in case of fire accidents, as residents may find it difficult to escape without guidance. To address this issue, a prototype LED arrow indication system has been developed to display a guided route to residents by analyzing real-time data collected from a network of sensors. The data is stored on an online cloud server and transmitted to a central controlling system via Wi-Fi connections, and displayed on LED indication boards and a mobile application. The sensor network can also function as an indoor air quality (IAQ) monitor under non-fire incident situations. Ultimately, the prototype system can operate with the connection of the cloud server and mobile application.","",10.1109/IECON51785.2023.10312431,"",,
rayyan-457898547,IoT \& Vision Based Environment Monitoring System - 2023 3rd International Conference on Intelligent Communication and Computational Techniques (ICCT),2023,,,,,,,1--5,"Jonnala, Y. B. and Talluru, L. S. and Kapuganti, S. and Joshi, J.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076137,,IEEE,,"Implementing intelligence into machines and devices in the field of science is efficient, and they complete tasks without any involvement of human minds. IoT is a combination of things, intelligence, and networks. It is simply a connected system of material things and humans. In this paper, we propose and demonstrate IoT -based smart environment monitoring systems, which undertake research in the vision-based and IoT fields. This work helps in the monitoring and surveillance of the public in uncomfortable places with gases and warns them about the use of facemasks. The real test case study for this application was taken in a hideous environment created due to presence of harmful gases in an indoor location at NIIT University.","",10.1109/ICCT56969.2023.10076137,"",,
rayyan-457898549,IoT-Enabled Automatic Self-Cleaning and Smart Toilet Management System - 2025 7th International Conference on Innovative Data Communication Technologies and Application (ICIDCA),2025,,,,,,,570--574,"Kumar, M. A. and R, A. and S, A. and S, D.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280308,,IEEE,,"This paper presents an IoT-enabled smart sanitation system designed to enhance cleanliness, operational efficiency, and user comfort in modern restrooms. The system integrates multiple sensors connected to a microcontroller that enables intelligent automation. User presence detection triggers real-time cleaning once the toilet is unoccupied, while other sensors monitor flushing performance and water consumption. The MQ-135 gas sensor identifies unpleasant odors and activates a disinfection process with spray nozzles and suction fans to maintain air freshness. After each use, a robotic cleaning cycle performs surface washing, UV sterilization, and hot-air drying. A local LCD and a mobile application display live status updates such as ""Occupied,"" ""Cleaning,"" or ""Ready to Use."" By merging IoT technology with automated cleaning mechanisms, the system minimizes manual labor, conserves water and energy, and delivers a hygienic, contactless, and sustainable sanitation experience.","",10.1109/ICIDCA66325.2025.11280308,"",,
rayyan-457898550,"Design of Stroller System Based on STM32 And Fuzzy Control - 2024 International Seminar on Artificial Intelligence, Computer Technology and Control Engineering (ACTCE)",2024,,,,,,,396--401,"Sun, W. and Cai, Z. and Liao, H.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10873182,,IEEE,,"STM32 and fuzzy control based strollers contain a wide range of sensors, microcontrollers, wireless communication devices, camera modules and systems that integrate various advanced technologies. This system can continue to provide parents with a convenient and safe way to take care of the baby, while providing parents with real-time data about the safety and comfort of the baby, such as: temperature and humidity sensors can monitor and adjust the environment of the stroller; The camera module can monitor the baby’s status in real time and whether there are strangers near the threat; The ESP32 module allows the device to exchange data with Huawei IoT platform. Through the mobile App, parents can remotely operate and monitor the baby’s status, reducing the difficulty of nursing. The Kalman filter processing for the data collected by the sensor can reduce the occurrence of wrong data, so as to reduce the fluctuation of the data and make the data closer to the real value. For the stroller environment perception system, fuzzy control is used to adjust the environmental condition and make the baby feel more comfortable. In short, the experiment shows that the stroller system can improve the experience of parents taking care of babies and make it more convenient to care for babies.","",10.1109/ACTCE65085.2024.00086,"",,
rayyan-457898552,IOT-Smart Monitoring of Pet Housing - 2024 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),2024,,,,,,,1--6,"Tung, Y. -C. and Lien, Y. -H. and Liu, L. -W. and B, M. D. Honesty and Devi, P. K.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10533139,,IEEE,,"Since the Internet of Things (IoT) has come into our lives, the demand for higher-quality pet care products is increasing as well. we have developed various smart services using IoT. Pet owners can remotely track their pet's activity and location, monitor their pet's health condition, or even interact with their pets. This paper proposed to design a system to monitor the living environment of pets intelligently. It is presented using the Node Mcu ESP8266 V3 Lua CH340 Wi-Fi Device Board, combined with a DHT11 sensor, fans, and HC-SR04 ultrasonic sensor. Upload the collected data to the cloud platform by Wi-Fi. In addition, users can view the monitoring data of temperature and humidity, feed control through a computer, tablet, or mobile phone, use the fuzzy theory to control the fan, the camera to check the current status of the pet, and the user will be notified by push broadcast when the water and food is insufficient.","",10.1109/WiSPNET61464.2024.10533139,"",,
rayyan-457898554,"AI Controlled Smart IoT Based Greenhouse Monitoring System - 2024 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",2024,,,,,,,434--439,"A, H. and Singh, C. and US, S. S. and KT, C. and Hashim, S. and Murdeshwar, H. G.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10750624,,IEEE,,"The AI-controlled Smart IoT-based Greenhouse Monitoring System represents a cutting-edge solution for precision agriculture. Leveraging the power of Artificial Intelligence and the Internet of Things, this system continuously monitors and optimizes environmental variables within the greenhouse, including temperature, humidity, soil moisture, and light levels. Greenhouse gases are the gases in the atmosphere that raise the surface temperature of Earth. Water vapor (H2O), carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), and Ozone (O3) are some of the examples for greenhouse gases. This article provides an overview of such an automation workflow in greenhouse environments by means of distributed wireless nodes. It makes use of both the IoT and AI technique. Predictions are made through the AI technique which makes use of CNN approach. After a comparative study, sample results from commercial and research greenhouse experiments with the IoT hardware and software have been provided to show connection stability, robustness, and reliability.","",10.1109/DISCOVER62353.2024.10750624,"",,
rayyan-457898557,Improving Monitoring Greenhouse System using Smart wireless Sensors Actuators Network - 2021 International Conference on Information Technology (ICIT),2021,,,,,,,212--217,"Al-Dahoud, A. and Fezari, M.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491685,,IEEE,,"the aim of this work is an improvement of previous work on greenhouse monitoring using smart sensors network, hardware and software design is presented to control and monitoring greenhouse parameters such as: air temperature, humidity and CO2 gas emission then providing irrigation, ventilation and enrichment of the sol with appropriate chemical products. The smart nodes for WSAN (wireless sensor and actuators network) transfer the data to and from a Laptop via a wireless transmission hardware agent, a simulation based on fuzzy logic controller is provided in order to make smart decision. As a result; the command devices, fans, vapor injectors and heaters will changed to reach the requested condition. A friendly Graphic user interface using high level language was developed to carry out the monitoring tasks. The control algorithms is used to receive data that includes the set points and issuing signals to activate the appropriate devices to get the appropriate condition. The system performance was tested by installing four smart actuators and sensors in the greenhouse.","",10.1109/ICIT52682.2021.9491685,"",,
rayyan-457898558,"Fuzzy Based Intelligent Transportation Systems for Smart Cities to Mitigate Road Traffic Congestion - 2024 International Conference on Innovations in Science, Engineering and Technology (ICISET)",2024,,,,,,,1--6,"Kabir, M. H. and Islam, M. S. and Hoque, M. J.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10941507,,IEEE,,"Traffic congestion in smart cities is a growing concern. This paper explores the application of Fuzzy Logic in Intelligent Transportation Systems (ITS) to address this challenge. Fuzzy logic can handle imprecise and dynamic traffic data and offers advantages over traditional fixed-time signal control. The research proposes a Fuzzy-based ITS framework for dynamically traffic signal control. This framework utilizes real-time sensor traffic data to adjust signal timings, dynamically prioritizing congested areas. The system also incorporates emergency vehicle detection using siren sensors. This ensures priority for emergency vehicles by granting them the right of way. This paper discusses the design of the fuzzy inference system, including the selection of fuzzy variables and membership functions. The effectiveness of the proposed system is evaluated through simulations, demonstrating its potential to reduce traffic congestion and improve traffic flow in smart cities.","",10.1109/ICISET62123.2024.10941507,"",,
rayyan-457898559,An Edge AI–based Fault Detection Approach for Wireless Sensor Networks with Federated Learning - 2025 International Conference on Sustainable Communication Networks and Application (ICSCN),2025,,,,,,,192--198,"Singh, S. and Johari, S. and Jethi, G. S.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11308578,,IEEE,,"Due to resource limitations, energy limitations, and the requirement for prompt identification of anomalous behaviour, fault detection in Wireless Sensor Networks (WSNs) is a significant challenge. For real-time WSN applications, traditional cloud-based solutions are inappropriate due to their high latency and excessive communication overhead. This work suggests a fault detection framework based on Edge AI to overcome these constraints. Each sensor node analyses parameters like residual energy, packet delay, and packet delivery ratio locally. A federated learning technique is used at an edge server to further aggregate the local inferences, protecting privacy and lowering bandwidth usage. The accuracy, precision, recall, F1-score, and ROC analysis were used to assess the performance of the suggested method, which was simulated in MATLAB. The findings show that the framework attains an F1-score of 84.21\%, an accuracy of 82\%, a recall of 100\%, and an AUC value of 0.826. These results demonstrate that the suggested methodology greatly lessens dependency on cloud resources while offering dependable and effective fault detection. The framework is especially well-suited for implementation in practical IoT and WSN applications that demand prompt and energyefficient fault handling.","",10.1109/ICSCN67106.2025.11308578,"",,
rayyan-457898560,Smart Poultry Farm: An IoT-based Environmental Monitoring and Control System - 2025 7th International Conference on Inventive Material Science and Applications (ICIMA),2025,,,,,,,1083--1090,"T, L. and Dhanasekaran, D. and Kumar, P. and A, M. P. and R, S. P",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11073906,,IEEE,,"This project presents a comprehensive IoT-based monitoring and control system designed for optimized poultry farm management. By continuously tracking temperature, humidity, ammonia levels, and water availability, the system provides precise environmental control essential for poultry health and productivity. When temperature rises, the system automatically activates a cooling fan to maintain comfort, while increased humidity triggers a heater to ensure balanced conditions. In the event of elevated ammonia levels, a specialized sprayer is activated to neutralize the gas, significantly improving air quality, and reducing risks to poultry welfare. Additionally, the system monitors water levels and activates an automated refill process when water levels drop, ensuring consistent hydration for poultry. Real-time data is displayed on an on-site screen and is accessible remotely through IoT, allowing farm managers to monitor conditions and respond to alerts promptly. This remote access capability further supports informed decision-making, while automation reduces manual labour and enables quick responses to environmental changes. The project highlights the role of IoT in smart farming, showcasing how technology can enhance animal welfare, operational efficiency, and sustainable farm management by providing a controlled and healthy environment.","",10.1109/ICIMA64861.2025.11073906,"",,
rayyan-457898561,Context-Aware Sensor Active Prioritization for Emergency Management in Smart Cities - 2025 IEEE International Smart Cities Conference (ISC2),2025,,,,2687-8860,,,1--6,"Bittencourt, J. C. N. and Costa, D. G. and Portugal, P.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293304,,IEEE,,"The increasing adoption of smart city technologies has led to a large-scale deployment of sensor-based solutions aimed at enhancing urban resilience through improved emergency response capabilities. However, traditional monitoring systems are not designed to respond efficiently to simultaneous data requests or adapt to changing risk levels in dynamic urban environments. This lack of flexibility can result in suboptimal resource allocation and delayed threat detection. This paper introduces a context-aware sensor prioritization mechanism based on a spatiotemporal Contextual Priority (CP) classification score. This CP-index integrates cloud-derived risk and vulnerability information with a locally computed Hazard Perception, allowing the sensor to adjust its priorities regarding other nodes. The prioritization approach employs a fuzzy logic controller to determine the current CP, which informs the definition of the priority constraints. This allows the emergency management system to operate according to contextual priorities, optimizing data collection by focusing on potential threats. Experimental results confirm the method's efficiency in an air quality management use case using the Porto Digital sensor network. The results show an overall latency below 5 ms and RAM usage between 7\%—16\% across selected low-power platforms.","",10.1109/ISC266238.2025.11293304,"",,
rayyan-457898563,"Research on Intelligent Building Environment Control and Automation System Based on Internet of Things - 2025 International Conference on Electrical Drives, Power Electronics \& Engineering (EDPEE)",2025,,,,,,,32--38,"Yang, X. and Jin, X. and Gu, Z.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069167,,IEEE,,"This paper studies the intelligent building environment control and automation system based on the Internet of Things (IoT), aiming at improving building energy efficiency, reducing carbon emissions, and improving users' comfort and safety. Firstly, the development trend of intelligent building and the key role of IoT technology are analyzed, and then a four-layer architecture system design is proposed, including perception layer, network layer, platform layer and application layer. The sensing layer is responsible for monitoring environmental parameters and equipment status, the network layer transmits data through wireless communication technology, the platform layer processes data and formulates control strategies, and the application layer provides user interaction interface. In the realization of key technologies, the sensor network is designed, and various sensors are used to collect environmental data, and the accuracy of data is ensured by optimized data collection and processing algorithms. PID control, fuzzy control and genetic algorithm are considered in the design of automatic control strategy and algorithm to realize intelligent adjustment of building environment. The experimental results show that the system can significantly reduce energy consumption and improve the accuracy of environmental control and the comfort of users.","",10.1109/EDPEE65754.2025.00011,"",,
rayyan-457898564,The Broiler Chicken Coop Temperature Monitoring Use Fuzzy Logic and LoRAWAN - 2021 3rd International Conference on Electronics Representation and Algorithm (ICERA),2021,,,,,,,161--166,"Liani, Y. A. and Munthe, I. R. and Irmayani, D. and Broto, B. E. and Yanris, G. J. and Prasetya, D. A. and Haryanto, R. and Adi, P. D. P. and Muslikh, A. R. and Arifuddin, R.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9538771,,IEEE,,"In this study, temperature monitoring was carried out in broiler chicken coops using LoRAWAN to transmit temperature and humidity sensor data in chicken coops to monitor and determine ideal conditions. LoRa can communicate data over long distances, transmit on the Line of Sight >= 15 km with Low Power Consumption with small BitRate. It is suitable for temperature and humidity data by considering the growth determinants of broiler chickens analyzed using Mamdani Fuzzy Logic. The growth of broiler chickens is determined at the level of ideal temperature and humidity availability, temperature, and humidity. Temperature and Humidity level is based on the age of broiler chickens. Therefore, the need for sorting according to the age of chickens, i.e., age 0-7 days, air temperature 31oc -33oc with optimal temperature 33oc with 30-50\% humidity, at 7-14 days old, air temperature 29oc-31oc with optimum temperature 30 oc and humidity 40-60\%, at an age above 14 days, air temperature 26oc-29oc with optimum temperature 27oc and 40-60\% humidity. The age of broiler chickens to harvest is 30-35 days, with a live weight of 1.5-2.0 kg per chicken. Fuzzy logic can be obtained for the most appropriate temperature and humidity applied to broiler chicken coop to support the development of chicken seen from the chicken's weight at the time of harvesting.","",10.1109/ICERA53111.2021.9538771,"",,
rayyan-457898565,Vision and Olfactory-Based Wildfire Monitoring with Uncrewed Aircraft Systems - 2023 20th International Conference on Ubiquitous Robots (UR),2023,,,,,,,716--723,"Wang, L. and Pang, S. and Noyela, M. and Adkins, K. and Sun, L. and El-Sayed, M.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10202419,,IEEE,,"Wildfires threaten human lives, destroy facilities, and emit toxic smoke. Traditional wildfire monitoring methods are hindered by inflexibility (e.g., watch towers) and cannot provide precise geo-location of wildfires (e.g., satellites). Thanks to recent development in robotics, deploying uncrewed aircraft systems (UAS) to monitor wildfires has become a feasible solution. This article introduces a UAS-based wildfire monitoring system and implement it in a prescribed burn test. A multirotor UAS was employed as the search agent and carried both olfactory (i.e., carbon monoxide and particulate matter) and visual (i.e., a camera) sensors to detect the existence of wildfires. A fuzzy inference system is designed to fuse olfactory sensor outputs to estimate whether the UAS detects smoke. A deep learning model, i.e., You Only Look Once version 4 (YOLOv4), is employed to identify smoke from the captured images. We deployed the proposed UAS in a prescribed burn at Tallahassee, Florida, in May 2022. Experimental results show that the proposed fuzzy inference system improves the estimation accuracy of whether the UAS detects smoke compared with the fixed threshold algorithm. In addition, the proposed YOLOv4 model can also detect smoke from captured images with a small amount of training samples.","",10.1109/UR57808.2023.10202419,"",,
rayyan-457898566,Dew Computing enabled ANFIS Model for Accurate Classification of Season-Stratified Acute Respiratory Infections in High Altitude Region - 2024 11th International Conference on Computing for Sustainable Global Development (INDIACom),2024,,,,,,,1669--1674,"Masoodi, Z. S. and Manocha, A.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10498562,,IEEE,,"Considerable research efforts have been devoted to delving into the realm of the Internet of Medical Things (IoMT) with the goal of enhancing healthcare services. The amalgamation of Internet of Things (IoT), medical devices, and the advances in cloud computing has enabled a collaborative approach, fostering improved prevention, diagnosis, treatment, and management of chronic illnesses This article explores the impact of ambient environmental factors on the incidence of acute respiratory infections (ARI) in the high-altitude region. The inconsistency in meteorological conditions has evolved into a major contributing factor to the severity of health issues, particularly for individuals dealing with Acute Respiratory Infections (ARI) like asthma. Limited studies in this geographically challenging area necessitate an in-depth investigation to understand the linkages between meteorological factors and consequent health adversities. The scarcity of specialized predictive solutions designed for individuals grappling with ARI can present a notable obstacle, contributing to both health and psychological challenges. In this study we propose a Dew Computing-enabled Adaptive Neuro-Fuzzy Inference System (ANFIS) model for precise classification of season-stratified ARIs. The proposed model aims to contribute valuable insights into measuring potential irregular health occurrences, by employing Weighted-Naïve Bayes modeling technique for the classification of the irregular events. Furthermore, the correlation between meteorological and health factors is assessed through the use of the Adaptive Neuro-Fuzzy Inference System (ANFIS). The proposed model aims to contribute valuable insights into the interplay of meteorological factors and respiratory health in high-altitude regions. The outcomes of the experiments illustrate that the model accurately predicts the severity of Asthma, achieving a precision level of 91.20\%.","",10.23919/INDIACom61295.2024.10498562,"",,
rayyan-457898568,Determining environmental indicators related to the propagation of contagious diseases and health issues: A Systematic Literature Review - 2023 18th Iberian Conference on Information Systems and Technologies (CISTI),2023,,,,2166-0727,,,1--5,"Portillo, J. D. and Peralta, L. M. R. and Sampaio, P. N. M. and d. O. Nunes, E.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212010,,IEEE,,"The environmental indicators provide significant information in order to describe the state of a phenomenon, environment or area [1]. This paper addresses the indicators present in the air and their relationship in the accommodation and transmission of viruses, as well as how these environmental indicators can lead to health problems. Therefore, the main goal of this work is to review the scientific contributions in the literature in order to determine and select the potential environmental indicators present in indoor environments which have an impact on the health of people who work and live within these spaces. For this purpose, we carried out a Systematic Literature Review (SLR) related to environmental monitoring, COVID-19, Internet of things, air pollution and environmental indicators within indoor spaces. This SLR allowed us to identify indicators that according to their level of presence can represent a high risk for people’s health. Therefore, the process of planning, conducting and reporting the Systematic Literature Review enabled us not only to identify some environmental indicators, but also their corresponding monitoring advantages and disadvantages, and multiple perspectives and approaches of each contribution in the literature. Further on, this study will be the basis for the proposal of an automatic and intelligent platform based on Internet of Things for monitoring indoor environments in order to detect high risk levels for the contamination of contagious diseases.","",10.23919/CISTI58278.2023.10212010,"",,
rayyan-457898569,Advancing Smart Sensor Networks and Carbon-Based Biosensors Through Artificial Intelligence: A Deep Learning Approach to Optoelectronic Device Innovation,2025,,,IEEE Access,2169-3536,13,,86083--86109,"Luo, K.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10988855,,IEEE,,"This research proposes a novel artificial decision-marking framework suitable for modern smart sensor networks and carbon-based biosensor systems which deals with uncertainty and the peculiarity of the data. To achieve the goals, the approach relies on the optoelectronic properties of carbon nanomaterials and already combines AI and deep learning. This raises the level of sensing, real-time data fusion, and adaptive decision-making within the environment to unprecedented levels. To enhance sensor evaluation in sensor manufacturing, we take a step further and implement Dombi Interval Valued Intuitionistic Fuzzy Sets (D-IVIFs) and work with Dombi Interval Valued Intuitionistic Fuzzy Dombi Bonferroni Mean (D-IVIFDBM) for hierarchical decision-making. Moreover, two Multi-Attribute Group Decision Making (MAGDM) methods IVIFWDBM and IVIFWDGBM are developed for expert evaluation aggregation in selection tasks of different criteria to enhance selection accuracy. These experiments did demonstrate improvements in decision accuracy as well as better overall performance than conventional models of comparison. The numerical experiments showed that these methods are more effective than traditional MAGDM models. Introducing such an advanced decision framework in deep learning systems enables improved adaptability, security, and resilience in next-generation sensor networks and biosensor devices. The new paradigm enables real-time signal interpretation and adaptive learning and provides effective solutions in harsh environments where severe fluctuations are common. This study assists in addressing the discrepancy between conceptual decision models and actual physical achievements in smart sensing, which will foster the development of more sophisticated and efficient optoelectronic devices.","",10.1109/ACCESS.2025.3567561,"",,
rayyan-457898570,Learning Aided System for Agriculture Monitoring Designed Using Image Processing and IoT-CNN,2022,,,IEEE Access,2169-3536,10,,41525--41536,"Sarma, K. K. and Das, K. K. and Mishra, V. and Bhuiya, S. and Kaplun, D.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756536,,IEEE,,"The Internet of Things (IoT) and artificial intelligence (AI) based methods for monitoring, control, and decision support are combined to design of a smart agriculture assistance system. The proposed system has a sensor pack that provides continuous data capture of temperature records, air and soil moisture and a camera for obtaining near-infrared (NIR) images of the plant leaves for use with an AI decision support system. We identify twelve types of vegetation for the study, out of which five disease classes of the tomato leaves are categorized using a Convolutional Neural Network (CNN). The work also includes experiments conducted with multiple clustering-based segmentation methods and some features namely Gray level co-occurrence matrix (GLCM), Local binary pattern (LBP), Local Binary Gray Level Co-occurrence Matrix (LBGLCM), Gray Level Run Length Matrix (GLRLM), and Segmentation-based Fractal Texture Analysis (SFTA). Out of several AI tools, CNN proves to be effective in providing automated decision support for classifying the plant leaf disease types through a cloud server that can be accessed using an app. Extensive on-field trials show that the system (VGG16 CNN, GLCM and a fuzzy based clustering) is effective in hot and humid conditions and proves to be reliable in identifying disease classes of certain vegetable types, certain usable vegetation cover of farmland and regulation of watering mechanism of crops.","",10.1109/ACCESS.2022.3167061,"",,
rayyan-457898571,PLC Based Humidity and Carbon Dioxide Monitoring and Control System for Industries using SCADA Technology - 2024 Second International Conference Computational and Characterization Techniques in Engineering \& Sciences (IC3TES),2024,,,,,,,1--6,"Khaleeq, M. B. and Yadav, A. Kumar and Sarfraz, M. and Siddiqui, M. K. and Shakir, M.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10877478,,IEEE,,"To optimize manufacturing processes and ensure environmental compliance, careful management of humidity and carbon dioxide levels is crucial in industrial contexts. The creation and deployment of a monitoring and control system that measures humidity and CO2 levels accurately using the Vaisala GMW90 sensor is presented in this study. The Allen-Bradley MicroLogix 1400 Series A PLC provides power to the system. PLC manages digital input/output operations. However, for an analog signal, we use an analog input module that is integrated before the PLC, and an analog output module is attached following the PLC to handle continuous analog signals. Analog signals are scaled to guarantee precise control and monitoring. Wonderware's InTouch SCADA software provides real-time monitoring and control since continuous visibility of sensor data is required. By tackling the issues of intermittent data visibility in industrial settings, this technology enables smooth automation and effective environmental control. Because of its enhanced control accuracy, scalability, and adaptability, the suggested solution can be applied to various industrial applications that call for constant ecological monitoring.","",10.1109/IC3TES62412.2024.10877478,"",,
rayyan-457898572,"YOLO-based Traffic Signal Optimization for Intelligent Traffic Flow Management - 2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",2024,,,,2768-0673,,,828--831,"C, J. D. and S, S. and Amaran, S. and K, S. K. and U, K.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10714806,,IEEE,,"As cities grow in population and the number of vehicles increases, traffic congestion has become a major problem. Traffic jams lead to delays, driver stress, higher fuel consumption, and increased air pollution. Megacities are particularly affected. To manage traffic effectively, it's essential to calculate road traffic density in real-time. Optimizing traffic control is crucial for this. The system uses live images from traffic cameras and AI-based image processing to measure vehicle density and adjust traffic signals accordingly, reducing congestion, speeding up transit, and lowering pollution.","",10.1109/I-SMAC61858.2024.10714806,"",,
rayyan-457898573,"Decentralized Tiny Ensemble Learning for Privacy-Preserving Compliance Prediction in Operating Room Environments - 2025 21th International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)",2025,,,,2160-4894,,,1--6,"Abrya, I. and Bouhaddou, S. and Ayache, M. and Nasser, N. and Bouayad, A.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11257576,,IEEE,,"Healthcare environments, particularly operating rooms, face significant challenges in maintaining optimal conditions to prevent postoperative infections. These challenges include the absence of real-time monitoring systems, the limited availability of labeled medical data, and the difficulty of deploying intelligent solutions in resource-constrained settings. Additionally, there is a growing need to explore emerging technologies in IoT and TinyML to modernize healthcare monitoring and address existing gaps in system intelligence, scalability, and privacy. This paper presents a privacy-preserving intelligent system designed to predict the compliance of operating room environments with ISO standards by continuously monitoring key parameters such as temperature, humidity, air quality, and pressure. The system employs a decentralized Tiny ensemble learning architecture, utilizing ESP32 microcontrollers as edge learners and a Raspberry Pi 4 as the aggregator node. This approach improves prediction accuracy to 98.74 \% while preserving data privacy through localized processing. To address data scarcity, recent synthetic data generation techniques from the literature are employed to create comprehensive datasets for training and validation.","",10.1109/WiMob66857.2025.11257576,"",,
